canonical_item_id,source,object_type,object_subtype,type_name,market_hash_name,item_name,weapon_type,weapon_family,weapon_name,skin_name,wear,rarity,collection,is_stattrak,is_souvenir,listing_id,asset_id,sample_price,sample_currency,raw_type
container__tacticians_music_kit_box,csgo_api_reference,container,Music Kit Box,Music Kit Box,Tacticians Music Kit Box,Tacticians Music Kit Box,,,,,,Base Grade,,False,False,crate-4754,4754,,,Music Kit Box
container__team_roles_capsule,csgo_api_reference,container,Sticker Capsule,Sticker Capsule,Team Roles Capsule,Team Roles Capsule,,,,,,Base Grade,,False,False,crate-4185,4185,,,Sticker Capsule
container__the_boardroom_sticker_capsule,csgo_api_reference,container,Sticker Capsule,Sticker Capsule,The Boardroom Sticker Capsule,The Boardroom Sticker Capsule,,,,,,Base Grade,,False,False,crate-4784,4784,,,Sticker Capsule
container__warhammer_40000_adeptus_astartes_sticker_capsule,csgo_api_reference,container,Sticker Capsule,Sticker Capsule,"Warhammer 40,000 Adeptus Astartes Sticker Capsule","Warhammer 40,000 Adeptus Astartes Sticker Capsule",,,,,,Base Grade,,False,False,crate-7013,7013,,,Sticker Capsule
container__warhammer_40000_imperium_sticker_capsule,csgo_api_reference,container,Sticker Capsule,Sticker Capsule,"Warhammer 40,000 Imperium Sticker Capsule","Warhammer 40,000 Imperium Sticker Capsule",,,,,,Base Grade,,False,False,crate-7015,7015,,,Sticker Capsule
container__warhammer_40000_sticker_capsule,csgo_api_reference,container,Sticker Capsule,Sticker Capsule,"Warhammer 40,000 Sticker Capsule","Warhammer 40,000 Sticker Capsule",,,,,,Base Grade,,False,False,crate-4616,4616,,,Sticker Capsule
container__warhammer_40000_traitor_astartes_sticker_capsule,csgo_api_reference,container,Sticker Capsule,Sticker Capsule,"Warhammer 40,000 Traitor Astartes Sticker Capsule","Warhammer 40,000 Traitor Astartes Sticker Capsule",,,,,,Base Grade,,False,False,crate-7011,7011,,,Sticker Capsule
container__warhammer_40000_xenos_sticker_capsule,csgo_api_reference,container,Sticker Capsule,Sticker Capsule,"Warhammer 40,000 Xenos Sticker Capsule","Warhammer 40,000 Xenos Sticker Capsule",,,,,,Base Grade,,False,False,crate-7017,7017,,,Sticker Capsule
container__winter_offensive_weapon_case,csgo_api_reference,container,Case,Case,Winter Offensive Weapon Case,Winter Offensive Weapon Case,,,,,,Base Grade,,False,False,crate-4009,4009,,,Case
container__x_ray_p250_package,csgo_api_reference,container,container,container,X-Ray P250 Package,X-Ray P250 Package,,,,,,Base Grade,,False,False,crate-4668,4668,,,
